x, y
421,56.58627
422,56.56958
423,56.80919
424,57.07502
425,57.57809
426,57.19185
427,57.70087
428,57.49941
429,57.66034
430,57.93333
431,58.17533
432,58.3899
433,58.34222
434,58.72726
435,58.81071
436,59.00741
437,59.03125
438,59.21602
439,59.19576
440,59.5665
441,59.36861
442,59.85856
443,59.8979
444,59.96823
445,60.22692
446,60.33301
447,60.42957
448,60.71448
449,60.87303
450,61.09238
451,61.12933
452,61.26165
453,61.2092
454,61.62047
455,61.7516
456,61.94592
457,61.86366
458,62.16884
459,62.28924
460,62.53958
461,62.40606
462,62.86621
463,63.06767
464,63.21788
465,63.41577
466,63.72213
467,63.52305
468,63.71617
469,64.2097
470,63.87115
471,64.02612
472,64.30387
473,64.43262
474,64.64839
475,64.65912
476,64.66866
477,65.0239
478,65.21583
479,65.58776
480,65.44352
481,65.40775
482,65.78565
483,65.62114
484,66.49256
485,65.89651
486,66.5307
487,66.35189
488,66.84661
489,66.54024
490,66.9539
491,66.97297
492,67.34133
493,67.28292
494,67.62266
495,67.61074
496,68.47143
497,68.19248
498,68.42494
499,68.3856
500,68.55488
501,68.78614
502,69.50259
503,69.05913
504,69.40365
505,69.57293
506,69.59558
507,69.71598
508,69.82565
509,69.8185
510,70.42289
511,70.77217
512,70.71137
513,70.75071
514,71.01059
515,71.0547
516,71.34557
517,71.5661
518,71.6126
519,71.48623
520,72.06917
521,72.16454
522,72.37554
523,72.04056
524,72.4256
525,72.49594
526,72.90125
527,72.77727
528,73.39239
529,73.1647
530,73.44604
531,73.29822
532,73.94791
533,73.62843
534,74.06473
535,73.97652
536,74.51057
537,74.14103
538,74.37468
539,74.28646
540,75.03152
541,75.17934
542,74.94211
543,74.90873
544,75.28901
545,75.21272
546,75.45233
547,76.33805
548,76.44057
549,75.82068
550,76.07937
551,76.06268
552,76.87092
553,76.26414
554,76.37262
555,76.47276
556,76.85065
557,77.01516
558,77.19517
559,77.27385
560,77.41451
561,77.37398
562,77.88062
563,77.83532
564,78.1703
565,78.12738
566,78.78542
567,78.58515
568,79.39577
569,79.17404
570,79.19312
571,79.11205
572,79.29683
573,79.24318
574,79.9799
575,79.71048
576,80.07407
577,80.58548
578,80.42693
579,80.55806
580,80.77502
581,80.38044
582,81.28524
583,81.27689
584,81.60233
585,81.41756
586,81.80737
587,81.98857
588,82.11851
589,81.83241
590,82.77655
