x, y
293,2.97308
294,2.94447
295,2.97427
296,2.93612
297,2.9254
298,2.89202
299,2.9254
300,2.92659
301,3.01838
302,2.8801
303,2.93374
304,2.96831
305,2.93612
306,2.95997
307,2.97427
308,2.93493
309,2.97666
310,3.0005
311,2.96593
312,2.90632
313,3.0005
314,3.00407
315,2.95043
316,2.98381
317,2.93851
318,2.95043
319,2.93612
320,2.95877
321,2.94566
322,2.92301
323,3.01719
324,2.97904
325,2.95043
326,2.95997
327,3.02434
328,2.97308
329,2.93493
330,3.01719
331,3.01242
332,2.99573
333,2.9707
334,2.99931
335,3.05653
336,2.96116
337,3.00527
338,2.97427
339,2.93851
340,2.98142
341,2.99454
342,3.06964
343,3.06368
344,3.34024
345,3.05176
346,3.04461
347,3.08633
348,3.01361
349,3.05533
350,3.01838
351,3.06845
352,3.01838
353,3.02434
354,3.05891
355,3.01838
356,3.04341
357,3.06606
358,3.01361
359,3.016
360,3.02553
361,3.06726
362,3.03507
363,3.03864
364,2.98262
365,3.0601
366,3.04699
367,3.00288
368,3.02792
369,3.04103
370,3.05057
371,3.08633
372,3.04222
373,3.02672
374,3.04818
375,3.02553
376,3.05414
377,3.04937
378,3.11375
379,3.05414
380,3.01719
381,3.09467
382,3.11494
383,3.05653
384,3.05176
385,3.08275
386,3.11852
387,3.05176
388,3.04699
389,3.12209
390,3.1662
391,3.13044
392,3.01719
393,3.10779
394,3.13044
395,3.02076
396,3.08037
397,3.12209
398,3.02076
399,3.07918
400,3.1209
401,3.07798
402,3.03864
403,3.17812
404,3.01838
405,3.10302
406,3.11971
407,3.00765
408,3.06129
409,3.10898
410,3.05772
411,3.0911
412,3.09944
413,3.03149
414,3.10302
415,3.16739
416,3.08514
417,3.0899
418,3.11613
419,3.04699
420,3.43204
421,3.19719
422,3.17097
423,3.12686
424,3.15428
425,3.14832
426,3.15666
427,3.10779
428,3.1364
429,3.12209
430,3.24249
431,3.18766
432,3.21865
433,3.12805
434,3.12209
435,3.16381
436,3.07918
437,3.12448
438,3.16143
439,3.19123
440,3.11375
441,3.07322
442,3.21388
443,3.13044
444,3.07322
445,3.20435
446,3.17931
447,3.1364
448,3.20196
449,3.23892
450,3.15309
451,3.16262
452,3.12328
453,3.13401
454,3.14593
455,3.14236
456,3.17097
457,3.19958
458,3.21507
459,3.23057
460,3.16858
461,3.15666
462,3.13997
463,3.16381
464,3.19719
465,3.11852
466,3.14593
467,3.196
468,3.18766
469,3.1805
470,3.17574
471,3.1662
472,3.08156
473,3.21269
474,3.21388
475,3.16262
476,3.15547
477,3.09348
478,3.18527
479,3.15309
480,3.09825
481,3.227
482,3.16381
483,3.12448
484,3.23057
485,3.1662
486,3.18408
487,3.17812
488,3.22104
489,3.21746
490,3.13878
491,3.13282
492,3.15666
493,3.26157
494,3.46422
495,3.25918
496,3.35932
497,3.2711
498,3.29614
499,3.23296
500,3.35455
