x, y
256,2.42949
257,2.46167
258,2.46644
259,2.44379
260,2.51532
261,2.46167
262,2.5034
263,2.47002
264,2.4581
265,2.47359
266,2.42233
267,2.46644
268,2.4879
269,2.48909
270,2.47836
271,2.51651
272,2.46763
273,2.47598
274,2.5034
275,2.49147
276,2.53081
277,2.4569
278,2.49386
279,2.47121
280,2.48909
281,2.47598
282,2.52128
283,2.47598
284,2.51412
285,2.52008
286,2.51293
287,2.50816
288,2.49028
289,2.49982
290,2.49147
291,2.51889
292,2.50697
293,2.52724
294,2.52962
295,2.46286
296,2.5177
297,2.4879
298,2.44737
299,2.50936
300,2.50936
301,2.51651
302,2.53677
303,2.5022
304,2.51174
305,2.50936
306,2.47121
307,2.53439
308,2.54631
309,2.54631
310,2.55346
311,2.49863
312,2.47121
313,2.5475
314,2.51651
315,2.55227
316,2.52008
317,2.5177
318,2.563
319,2.51293
320,2.51889
321,2.55466
322,2.52366
323,2.5332
324,2.54273
325,2.52604
326,2.53201
327,2.58446
328,2.52843
329,2.56538
330,2.56658
331,2.49624
332,2.5177
333,2.53201
334,2.53439
335,2.56181
336,2.49147
337,2.51651
338,2.53201
339,2.51412
340,2.55108
341,2.53081
342,2.5177
343,2.5475
344,2.52604
345,2.52485
346,2.53797
347,2.5022
348,2.48909
349,2.62976
350,2.54273
351,2.55585
352,2.54989
353,2.55346
354,2.54989
355,2.49386
356,2.50697
357,2.53916
358,2.54512
359,2.53201
360,2.5177
361,2.53439
362,2.5475
363,2.53558
364,2.53916
365,2.53797
366,2.57134
367,2.57373
368,2.52247
369,2.48671
370,2.55108
371,2.51412
372,2.5475
373,2.63095
374,2.53558
375,2.55227
376,2.59876
377,2.54631
378,2.49624
379,2.56181
380,2.54154
381,2.5475
382,2.59876
383,2.58923
384,2.61903
385,2.56896
386,2.54035
387,2.60353
388,2.57015
389,2.5928
390,2.54035
391,2.54989
392,2.57373
393,2.61307
394,2.54869
395,2.48551
396,2.54154
397,2.57492
398,2.55108
399,2.48432
400,2.58327
401,2.55823
402,2.52485
403,2.4879
404,2.56419
405,2.54989
406,2.54512
407,2.563
408,2.57373
409,2.55823
410,2.53439
411,2.57015
412,2.58207
413,2.54869
414,2.57254
415,2.59757
416,2.57373
417,2.57373
418,2.54869
419,2.5928
420,2.61426
421,2.57134
422,2.56062
423,2.50459
424,2.51293
425,2.55823
426,2.56658
427,2.5773
428,2.57492
429,2.55108
430,2.54393
431,2.59876
432,2.60115
433,2.56658
434,2.57969
435,2.62856
436,2.56181
437,2.60115
438,2.59161
439,2.57373
440,2.60353
441,2.54869
442,2.54631
443,2.5928
444,2.55942
445,2.55227
446,2.57254
447,2.59399
448,2.55346
449,2.57015
450,2.59161
451,2.57611
452,2.54512
453,2.55466
454,2.61068
455,2.57254
456,2.57969
457,2.57492
458,2.58088
459,2.59757
460,2.59042
461,2.53797
462,2.58923
463,2.60949
464,2.6226
465,2.60592
466,2.62737
467,2.61426
468,2.61426
469,2.5785
470,2.62141
471,2.60353
472,2.5332
473,2.60592
474,2.62022
475,2.62976
476,2.55466
477,2.64287
478,2.5928
479,2.57254
480,2.55227
481,2.59042
482,2.60115
483,2.62856
484,2.58803
485,2.61903
486,2.5928
487,2.58565
488,2.60711
489,2.58207
490,2.62856
491,2.59876
492,2.60234
493,2.65241
494,2.60353
495,2.58923
496,2.6226
497,2.57134
498,2.63095
499,2.56538
500,2.60592
