x, y
238,2.51174
239,2.41399
240,2.38299
241,2.49028
242,2.36988
243,2.36273
244,2.49147
245,2.41876
246,2.3973
247,2.4879
248,2.36034
249,2.35915
250,2.36154
251,2.36273
252,2.39134
253,2.49624
254,2.37226
255,2.44498
256,2.47598
257,2.39849
258,2.5022
259,2.44617
260,2.42233
261,2.5177
262,2.52485
263,2.43306
264,2.49982
265,2.47598
266,2.41995
267,2.38776
268,2.3818
269,2.42829
270,2.40207
271,2.40922
272,2.40326
273,2.43187
274,2.41756
275,2.41756
276,2.41995
277,2.44141
278,2.44498
279,2.42352
280,2.49267
281,2.56896
282,2.47478
283,2.3973
284,2.44617
285,2.46048
286,2.43068
287,2.4581
288,2.42949
289,2.46882
290,2.4426
291,2.42114
292,2.44498
293,2.45929
294,2.53916
295,2.54989
296,2.41995
297,2.44021
298,2.47836
299,2.44379
300,2.43664
301,2.49743
302,2.4426
303,2.54512
304,2.60711
305,2.63095
306,2.59757
307,2.56896
308,2.59757
309,2.61068
310,2.563
311,2.57969
312,2.59519
313,2.6238
314,2.57969
315,2.71082
316,2.63214
317,2.66552
318,2.61188
319,2.6238
320,2.67625
321,2.65479
322,2.64764
323,2.61664
324,2.61545
325,2.63572
326,2.62141
327,2.60115
328,2.60115
329,2.59161
330,2.65241
331,2.57611
332,2.50459
333,2.4569
334,2.60592
335,2.49863
336,2.49147
337,2.5928
338,2.5022
339,2.59042
340,2.56777
341,2.46763
342,2.5773
343,2.50578
344,2.45571
345,2.58088
346,2.54273
347,2.51174
348,2.66433
349,2.54512
350,2.55704
351,2.44021
352,2.44498
353,2.49624
354,2.44498
355,2.46763
356,2.56658
357,2.54393
358,2.45094
359,2.46286
360,2.4581
361,2.46286
362,2.46048
363,2.57611
364,2.5475
365,2.44141
366,2.46882
367,2.55823
368,2.55227
369,2.48671
370,2.55704
371,2.5928
372,2.48671
373,2.47598
374,2.48551
375,2.52366
376,2.48551
377,2.57254
378,2.57015
379,2.46882
380,2.51889
381,2.47955
382,2.48551
383,2.51889
384,2.61664
385,2.51293
386,2.50816
387,2.49743
388,2.49028
389,2.52962
390,2.50816
391,2.47836
392,2.52604
393,2.48194
394,2.50816
395,2.49267
396,2.49386
397,2.51055
398,2.48551
399,2.69771
400,2.64764
401,2.72751
402,2.67863
403,2.6691
404,2.70844
405,2.66314
406,2.66433
407,2.54035
408,2.57134
409,2.71201
410,2.53558
411,2.6381
412,2.55466
413,2.563
414,2.48671
415,2.50101
416,2.51293
417,2.5177
418,2.52008
419,2.54035
420,2.49624
421,2.52962
422,2.49743
423,2.51532
424,2.53439
425,2.52843
426,2.5034
427,2.53558
428,2.49624
429,2.49505
430,2.52604
431,2.53797
432,2.59042
433,2.68698
434,2.53797
435,2.54154
436,2.52366
437,2.52485
438,2.54035
439,2.54512
440,2.51889
441,2.54035
442,2.53677
443,2.55346
444,2.54989
445,2.54512
446,2.5177
447,2.52008
448,2.52128
449,2.54869
450,2.52604
451,2.53439
452,2.53916
453,2.62856
454,2.51293
455,2.55823
456,2.52485
457,2.53439
458,2.50697
459,2.51889
460,2.52724
461,2.54393
462,2.55585
463,2.53797
464,2.5332
465,2.53677
466,2.52008
467,2.53081
468,2.52008
469,2.54869
470,2.52604
471,2.5785
472,2.52247
473,2.64645
474,2.72751
475,2.59995
476,2.53558
477,2.53081
478,2.55942
479,2.55108
480,2.54154
481,2.51889
482,2.64525
483,2.76327
484,2.73585
485,2.7597
486,2.72274
487,2.75612
488,2.69532
489,2.63214
490,2.58088
491,2.6679
492,2.49386
493,2.67863
494,2.59042
495,2.57254
496,2.69055
497,2.65002
498,2.59042
499,2.68817
500,2.52724
