x,y,z
175,100,1181.292654548889
175,150,1385.444567300572
175,200,1530.292654548889
175,250,1642.6455596645783
175,300,1734.4445673005725
175,350,1812.0595223469927
175,400,1879.292654548889
175,450,1938.596480052256
175,500,1991.6455596645783
175,550,2039.6342894533054
175,600,2083.4445673005725
175,650,2123.74611618013
175,700,2161.0595223469927
175,750,2195.797472416262
175,800,2228.292654548889
175,850,2258.8171861452574
175,900,2287.596480052256
175,950,2314.8193567407
175,1000,2340.6455596645783
175,1050,2365.2114350986762
175,1100,2388.6342894533054
175,1150,2411.0157772127864
175,1200,2432.4445673005725
175,1250,2452.9984647802676
175,1300,2472.74611618013
175,1350,2491.7483928039396
175,1400,2510.0595223469927
175,1450,2527.7280218484116
200,0,0
200,50,914.4835255753958
200,100,1313.4835255753958
200,150,1546.8835633631368
200,200,1712.4835255753958
200,250,1840.9328354354532
200,300,1945.8835633631372
200,350,2034.6181394763796
200,400,2111.483525575396
200,450,2179.283601150879
200,500,2239.932835435453
200,550,2294.7967414116774
200,600,2344.883563363137
200,650,2390.958973113691
200,700,2433.61813947638
200,750,2473.332873223195
200,800,2510.483525575396
200,850,2545.3811992342817
200,900,2578.283601150879
200,950,2609.4066034393863
200,1000,2638.932835435453
200,1050,2667.018177264121
200,1100,2693.7967414116774
200,1150,2719.384746042144
200,1200,2743.883563363137
200,1250,2767.382145295511
200,1300,2789.958973113691
200,1350,2811.68363893862
200,1400,2832.61813947638
200,1450,2852.8179426312963
225,0,0
225,50,992.1768799938011
225,100,1441.176879993801
225,150,1703.8250428176
225,200,1890.176879993801
225,250,2034.7225945982266
225,300,2152.8250428176007
225,350,2252.6792399976657
225,400,2339.176879993801
225,450,2415.4732056413995
225,500,2483.7225945982264
225,550,2545.4616767619473
225,600,2601.8250428176007
225,650,2653.674313439152
225,700,2701.6792399976657
225,750,2746.370757422026
225,800,2788.176879993802
225,850,2827.4476957152037
225,900,2864.4732056413995
225,950,2899.4963335299717
225,1000,2932.7225945982273
225,1050,2964.3274028214646
225,1100,2994.4616767619473
225,1150,3023.2561982633997
225,1200,3050.8250428176007
225,1250,3077.2683092026527
225,1300,3102.674313439152
225,1350,3127.1213684651984
225,1400,3150.6792399976657
225,1450,3173.410346806081
250,0,0
250,50,1065.8723832474038
250,100,1564.8723832474038
250,150,1856.7686711072606
250,200,2063.872383247404
250,250,2224.5145025961974
250,300,2355.768671107261
250,350,2466.7424893541483
250,400,2562.8723832474043
250,450,2647.664958967118
250,500,2723.5145025961974
250,550,2792.128760947415
250,600,2854.768671107261
250,650,2912.391802599808
250,700,2965.7424893541483
250,750,3015.410790456054
250,800,3061.8723832474043
250,850,3105.5163410313235
250,900,3146.664958967118
250,950,3185.588212455753
250,1000,3222.5145025961974
250,1050,3257.638777214005
250,1100,3291.128760947415
250,1150,3323.129799319853
250,1200,3353.768671107261
250,1250,3383.1566219449915
250,1300,3411.391802599808
250,1350,3438.5612468269746
250,1400,3464.7424893541483
250,1450,3490.004899816062
275,0,0
275,50,1135.9696130646057
275,100,1684.9696130646057
275,150,2006.1140259605204
275,200,2233.9696130646053
275,250,2410.708137157768
275,300,2555.114025960521
275,350,2677.2074652742303
275,400,2782.969613064606
275,450,2876.2584388564355
275,500,2959.708137157768
275,550,3035.1975716964816
275,600,3104.114025960521
275,650,3167.511018324065
275,700,3226.2074652742303
275,750,3280.8525500536825
275,800,3331.969613064606
275,850,3379.9867129110426
275,900,3425.2584388564355
275,950,3468.0818179451344
275,1000,3508.708137157768
275,1050,3547.351878170145
275,1100,3584.1975716964816
275,1150,3619.405126939906
275,1200,3653.114025960521
275,1250,3685.4466612509295
275,1300,3716.511018324065
275,1350,3746.40285175235
275,1400,3775.2074652742303
275,1450,3803.001179389643
300,0,0
300,50,1202.7954318357997
300,100,1801.7954318357997
300,150,2152.187969767772
300,200,2400.7954318357993
300,250,2593.6303606733295
300,300,2751.1879697677728
300,350,2884.4010301483045
300,400,2999.7954318358
300,450,3101.5805076997453
300,500,3192.6303606733295
300,550,3274.9949713995406
300,600,3350.1879697677728
300,650,3419.358823002314
300,700,3483.4010301483045
300,750,3543.022898605302
300,800,3598.7954318358
300,850,3651.185673744753
300,900,3700.5805076997453
300,950,3747.304012388508
300,1000,3791.6303606733295
300,1050,3833.793568080277
300,1100,3873.9949713995406
300,1150,3912.40904351395
300,1200,3949.1879697677728
300,1250,3984.4652895108597
300,1300,4018.358823002314
300,1350,4050.973045631718
300,1400,4082.4010301483045
300,1450,4112.726047917215
325,0,0
325,50,1266.6222011832401
325,100,1915.6222011832397
325,150,2295.26286415127
325,200,2564.6222011832397
325,250,2773.5535347651385
325,300,2944.262864151271
325,350,3088.595545598625
325,400,3213.6222011832406
325,450,3323.9035271193015
325,500,3422.5535347651385
325,550,3511.793321678846
325,600,3593.262864151271
325,650,3668.207578256808
325,700,3737.595545598625
325,750,3802.194197733169
325,800,3862.6222011832406
325,850,3919.3855851547105
325,900,3972.9035271193015
325,950,4023.527157408127
325,1000,4071.5535347651385
325,1050,4117.2362085666555
325,1100,4160.793321678846
325,1150,4202.4139106642415
325,1200,4242.262864151271
325,1250,4280.484868347036
325,1300,4317.207578256808
325,1350,4352.544190087331
325,1400,4386.595545598625
325,1450,4419.451867021035
350,0,0
350,50,1327.6803763993848
350,100,2026.6803763993844
350,150,2435.5691644034728
350,200,2725.6803763993844
350,250,2950.708114725651
350,300,3134.5691644034737
350,350,3290.0214669176507
350,400,3424.6803763993853
350,450,3543.457952407561
350,500,3649.708114725651
350,550,3745.8230778268558
350,600,3833.5691644034737
350,650,3914.2877393800077
350,700,3989.0214669176507
350,750,4058.596902729739
350,800,4123.680376399385
350,850,4184.816902433373
350,900,4242.457952407562
350,950,4296.981708296451
350,1000,4348.70811472565
350,1050,4397.910254921739
350,1100,4444.823077826855
350,1150,4489.650183683238
350,1200,4532.569164403474
350,1250,4573.735853051918
350,1300,4613.287739380008
350,1350,4651.346740411649
350,1400,4688.021466917651
350,1450,4723.409091993557
375,0,0
375,50,1386.1674948371688
375,100,2135.1674948371688
375,150,2573.304407877315
375,200,2884.1674948371688
375,250,3125.2916379078038
375,300,3322.304407877316
375,350,3488.8763314583152
375,400,3633.1674948371697
375,450,3760.4413209174613
375,500,3874.2916379078038
375,550,3977.281777196505
375,600,4071.304407877316
375,650,4157.796843724847
375,700,4237.876331458316
375,750,4312.4285509479505
375,800,4382.167494837169
375,850,4447.6771629336745
375,900,4509.441320917462
375,950,4567.865202406416
375,1000,4623.291637907803
375,1050,4676.013244498461
375,1100,4726.281777196506
375,1150,4774.315399923871
375,1200,4820.304407877316
375,1250,4864.415780978437
375,1300,4906.796843724847
375,1350,4947.578233957607
375,1400,4986.876331458316
375,1450,5024.7952601877205
400,0,0
400,50,1442.2547635303395
400,100,2241.2547635303395
400,150,2708.6398016065436
400,200,3040.2547635303395
400,250,3297.475311345343
400,300,3507.6398016065446
400,350,3685.331346254366
400,400,3839.2547635303404
400,450,3975.024839682748
400,500,4096.475311345343
400,550,4206.34062682154
400,600,4306.639801606545
400,650,4398.906098325073
400,700,4484.3313462543665
400,750,4563.860349421546
400,800,4638.25476353034
400,850,4708.137573689362
400,900,4774.024839682748
400,950,4836.348846771765
400,1000,4895.475311345343
400,1050,4951.71638433057
400,1100,5005.34062682154
400,1150,5056.580766419893
400,1200,5105.639801606545
400,1250,5152.695859160343
400,1300,5197.906098325071
400,1350,5241.409877758952
400,1400,5283.331346254365
400,1450,5323.7815786372685
425,0,0
425,50,1496.0919979020632
425,100,2345.091997902063
425,150,2841.7251610143253
425,200,3194.091997902063
425,250,3467.4089504614344
425,300,3690.725161014326
425,350,3879.53632672897
425,400,4043.091997902064
425,450,4187.358324126588
425,500,4316.408950461435
425,550,4433.149442125128
425,600,4539.725161014327
425,650,4637.76531860385
425,700,4728.53632672897
425,750,4813.042113573696
425,800,4892.091997902064
425,850,4966.347950123603
425,900,5036.358324126588
425,950,5102.5824568156695
425,1000,5165.408950461435
425,1050,5225.169489841232
425,1100,5282.14944212513
425,1150,5336.596098594468
425,1200,5388.725161014327
425,1250,5438.725903020804
425,1300,5486.7653186038515
425,1350,5532.991487238849
425,1400,5577.53632672897
425,1450,5620.517862765373
450,0,0
450,50,1547.8113973685931
450,100,2446.811397368593
450,150,2972.692685516913
450,200,3345.811397368593
450,250,3635.224754672333
450,300,3871.692685516914
450,350,4071.62347229838
450,400,4244.811397368594
450,450,4397.573973665233
450,500,4534.224754672333
450,550,4657.840422523524
450,600,4770.692685516913
450,650,4874.506703977435
450,700,4970.623472298381
450,750,5060.106042820651
450,800,5143.811397368594
450,850,5222.440491652649
450,900,5296.573973665232
450,950,5366.698231954377
450,1000,5433.224754672332
450,1050,5496.5047604467
450,1100,5556.8404225235245
450,1150,5614.493595863849
450,1200,5669.692685516913
450,1250,5722.63811197607
450,1300,5773.506703977435
450,1350,5822.455261813553
450,1400,5869.623472298381
450,1450,5915.136311988281
475,0,0
475,50,1597.530481364297
475,100,2546.530481364297
475,150,3101.659894548675
