x,y,z
575,350,732.569
575,400,831.011
575,450,917.842
575,500,995.516
575,550,1118.663
575,600,1247.082
575,650,1365.215
575,700,1474.589
575,750,1576.414
575,800,1671.665
575,850,1761.139
575,900,1845.498
575,950,1925.295
575,1000,2000.997
575,1050,2073.006
575,1100,2141.663
575,1150,2207.269
575,1200,2270.082
575,1250,2330.33
575,1300,2388.215
575,1350,2443.915
575,1400,2497.589
575,1450,2549.379
600,0,0
600,50,97.563
600,100,201.77
600,150,305.349
600,200,411.183
600,250,493.275
600,300,618.926
600,350,732.569
600,400,831.011
600,450,917.842
600,500,995.516
600,550,1118.663
600,600,1247.082
600,650,1365.215
600,700,1474.589
600,750,1576.414
600,800,1671.665
600,850,1761.139
600,900,1845.498
600,950,1925.295
600,1000,2000.997
600,1050,2073.006
600,1100,2141.663
600,1150,2207.269
600,1200,2270.082
600,1250,2330.33
600,1300,2388.215
600,1350,2443.915
600,1400,2497.589
600,1450,2549.379
625,0,0
625,50,97.563
625,100,201.77
625,150,305.349
625,200,411.183
625,250,493.275
625,300,618.926
625,350,732.569
625,400,831.011
625,450,917.842
625,500,995.516
625,550,1118.663
625,600,1247.082
625,650,1365.215
625,700,1474.589
625,750,1576.414
625,800,1671.665
625,850,1761.139
625,900,1845.498
625,950,1925.295
625,1000,2000.997
625,1050,2073.006
625,1100,2141.663
625,1150,2207.269
625,1200,2270.082
625,1250,2330.33
625,1300,2388.215
625,1350,2443.915
625,1400,2497.589
625,1450,2549.379
650,0,0
650,50,97.563
650,100,201.77
650,150,305.349
650,200,411.183
650,250,493.275
650,300,618.926
650,350,732.569
650,400,831.011
650,450,917.842
650,500,995.516
650,550,1118.663
650,600,1247.082
650,650,1365.215
650,700,1474.589
650,750,1576.414
650,800,1671.665
650,850,1761.139
650,900,1845.498
650,950,1925.295
650,1000,2000.997
650,1050,2073.006
650,1100,2141.663
650,1150,2207.269
650,1200,2270.082
650,1250,2330.33
650,1300,2388.215
650,1350,2443.915
650,1400,2497.589
650,1450,2549.379
675,0,0
675,50,97.563
675,100,201.77
675,150,305.349
675,200,411.183
675,250,493.275
675,300,618.926
675,350,732.569
675,400,831.011
675,450,917.842
675,500,995.516
675,550,1118.663
675,600,1247.082
675,650,1365.215
675,700,1474.589
675,750,1576.414
675,800,1671.665
675,850,1761.139
675,900,1845.498
675,950,1925.295
675,1000,2000.997
675,1050,2073.006
675,1100,2141.663
675,1150,2207.269
675,1200,2270.082
675,1250,2330.33
675,1300,2388.215
675,1350,2443.915
675,1400,2497.589
675,1450,2549.379
700,0,0
700,50,97.563
700,100,201.77
700,150,305.349
700,200,411.183
700,250,493.275
700,300,618.926
700,350,732.569
700,400,831.011
700,450,917.842
700,500,995.516
700,550,1118.663
700,600,1247.082
700,650,1365.215
700,700,1474.589
700,750,1576.414
700,800,1671.665
700,850,1761.139
700,900,1845.498
700,950,1925.295
700,1000,2000.997
700,1050,2073.006
700,1100,2141.663
700,1150,2207.269
700,1200,2270.082
700,1250,2330.33
